"Real GDP growth (Annual percent change)","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","Estimates start after"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Portugal","6.7","3.5","2.2000000000000002","1","-1","1.6","3.3","7.6","5.3","6.6","7.9","3.4","3.1","-0.7","1.5","2.2999999999999998","3.5","4.4000000000000004","4.8","3.9","3.8","1.9","0.8","-0.9","1.8","0.8","1.6","2.5","0.3","-3.1","1.7","-1.7","-4.0999999999999996","-1","0.7","1.6","2","3.3","2.9","2.7","-8.1999999999999993","5.6","7","3.1","2.2000000000000002","1.9","1.9","1.8","1.8","1.7","1.6","1.6",2024
"Puerto Rico","no data","1.1000000000000001","-3","0.5","7.3","2.1","8.1999999999999993","4.9000000000000004","6.5","4.9000000000000004","3.8","2.2999999999999998","4.5999999999999996","4.5999999999999996","4.2","4.5","2.2999999999999998","4.9000000000000004","6.5","4.4000000000000004","3.3","9.5","2.2000000000000002","2.2999999999999998","2","-2","-1.4","-1.2","-1.8","-2","-0.4","-0.4","0","-0.3","-1.2","-1","-1.3","-2.9","-4.4000000000000004","1.7","-4.2","0.4","3","0.5","3.2","-0.8","-0.1","1","0.6","0.8","0.8","0.8",2024
"Qatar","-1","-3.9","-8.1999999999999993","-5.3","16","-13","3.7","0.9","4.7","5.3","-14.6","-1.5","10.4","-0.9","1.9","0.4","4.2","27.7","10.3","3.8","6.9","4.5","6.9","4","19.2","7.8","28.1","18.2","17.5","13.1","17.7","11.3","4.7","5.6","5.3","4.8","3.1","-1.5","1.2","0.7","-3.6","1.6","4.2","1.5","2.4","2.8","-8.6","8.6","5.8","7.8","5.9","5",2023
"Reunion","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Romania","3.3","0.1","3.9","6","6","-0.1","2.4","0.8","-0.5","-5.8","-5.6","-12.9","-8.8000000000000007","1.5","3.9","7.1","3.9","-6.1","-4.8","-1.2","2.9","5.2","5.7","2.2999999999999998","10.4","4.7","8","7.2","9.3000000000000007","-5.5","-3.9","4.5","1.9","0.3","4.0999999999999996","3.2","2.9","8.1999999999999993","5.4","4","-3.6","5.6","4.2","2.2999999999999998","0.9","0.7","0.7","2.5","2.7","2.9","3.1","3.1",2025
"Russian Federation","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-8.6999999999999993","-12.7","-4.0999999999999996","-3.6","1.4","-5.3","6.3","10.1","5.0999999999999996","4.7","7.4","7.1","6.4","8.1999999999999993","8.6","5.2","-7.8","4.5","4","4","1.8","0.7","-2","0.2","1.8","2.8","2.2000000000000002","-2.7","5.9","-1.4","4.0999999999999996","4.9000000000000004","1","1.1000000000000001","1.1000000000000001","1","1","1","1",2025
"Rwanda","-3.6","2.5","-2.5","6","13","4.4000000000000004","5.5","-0.3","0.3","-5.7","0.4","-4.3","6.6","-10.4","-41.9","24.5","11.6","14.9","8.3000000000000007","3.3","8.4","8.5","13.2","2.2000000000000002","7.4","9.4","9.1999999999999993","7.7","11.2","6.2","7.3","8","8.6","4.7","5.7","8.9","5.7","4.7","8.1","9.3000000000000007","-2.8","8.4","9.8000000000000007","8.6","7.2","7","7.2","7.6","6.8","6.8","6.8","6.8",2024
"Saint Helena","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Saint Kitts and Nevis","1.3","2.7","6.1","-2.1","9.6999999999999993","6.4","8.8000000000000007","8.3000000000000007","10.4","6","5.5","2.2999999999999998","3.1","5.4","5.4","3.5","5.9","7.3","1","3.9","13.4","5","1.5","-3.7","4","10.199999999999999","3.2","1.2","6.4","-3.4","-0.1","1.6","1.1000000000000001","5.4","7.4","-0.7","3.9","0.2","0.3","2.4","-15.2","0.6","10.5","4.5999999999999996","1.7","1.5","2","2.5","2.6","2.7","2.6","2.5",2024
"Saint Lucia","-0.5","5.0999999999999996","2.1","4.0999999999999996","8","12.6","14.4","3.9","13.9","9","9.9","0.4","8","0.6","1.6","1.7","2.9","-0.7","6.3","2.7","0","-3.4","0.4","4.3","7.3","-0.4","6.5","1.9","4.9000000000000004","-1.9","0.5","4.9000000000000004","-0.4","-2.2000000000000002","1.3","-0.2","3.8","3.4","2.9","-0.7","-23.8","11.3","20.6","3.3","4.7","1.7","2","1.7","1.6","1.6","1.5","1.5",2024
"Saint Martin","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Saint Vincent and the Grenadines","2.4","4.5999999999999996","4.5","2.2000000000000002","6.6","6.2","5.6","0.4","14.1","1.4","4.0999999999999996","1.1000000000000001","6.4","4.3","-1.2","7.8","1.3","3.5","4.0999999999999996","2.7","1.6","1.6","4.9000000000000004","6.1","3.7","2.2999999999999998","6.5","3.1","0.4","-1.2","-4.3","-0.6","1.1000000000000001","2.5","1.1000000000000001","2.8","4.0999999999999996","1.5","3.2","0.7","-4.8","2.1","5","4.5","4.5","3.4","3","2.7","2.7","2.7","2.7","2.7",2024
"Saint-Pierre and Miquelon","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Samoa","-6.1","-9.1","-1","0.5","2","5.8","4.8","0.5","2.9","5.8","-6.4","-2.4","4.0999999999999996","1.7","6.4","6.6","7.3","0.8","1.1000000000000001","-0.6","5.0999999999999996","7.4","5.7","5.2","3.1","6.6","2.1","0.5","3.6","-0.5","2.5","3.8","-3.7","0.1","0.7","3.9","8","1.4","-0.6","4.5","-3.1","-5.0999999999999996","2.2999999999999998","15.2","4.8","4.2","3.2","2.8","2.5","2.2000000000000002","2.1","2",2025
"San Marino","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","7.5","9","2.2000000000000002","5.5","0.3","3.9","4.5999999999999996","2.4","3.8","7.1","-0.4","-10.199999999999999","-5.9","-8.6","-7.2","-0.8","-0.7","2.7","2.2999999999999998","0.3","1.5","2","-6.8","14.5","7.8","0.4","1","1.5","1.3","1.2","1.3","1.3","1.3","1.3",2023
"Saudi Arabia","5.8","3","-16.100000000000001","-11","-4","-7.2","1","-3.1","6.6","0.4","9.4","8.1999999999999993","4.5999999999999996","0.4","1","0.3","3.3","2.6","2.8","-0.6","4.7","0.3","-0.7","8.8000000000000007","8.6","5.9","3.3","2.2000000000000002","6.2","-1.1000000000000001","5","11.8","5.8","2.9","4","4.7","1.7","1.2","3.2","1.7","-3.8","6.5","12","0.5","2.6","4.5","3.1","4.5","3.6","3.5","3.5","3.6",2025
"Senegal","-0.8","5.0999999999999996","7.8","-5.3","3.7","3.3","3.1","6.1","-0.6","4","-0.7","2.6","1.2","1.3","-0.2","6.1","1.9","2.7","6","6","3.9","4.3","0.1","5.6","4.5999999999999996","4.3","2.2999999999999998","2.8","3.7","2.8","3.4","1.3","4","2.4","6.2","6.4","6.4","7.4","6.2","4.5999999999999996","1.3","6.5","3.9","4.3","6.1","7.9","2.2000000000000002","2.2999999999999998","3","2.9","4.3","4.5999999999999996",2024
"Serbia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","5.3","-10.3","6.1","6.8","6.5","4.5999999999999996","6.7","5.9","3.9","7.8","5.2","-3.1","1.6","0.1","-0.4","0.5","-1.8","1.3","3","2.4","4.5999999999999996","4.8","-1","7.9","2.7","3.7","3.9","2","2.8","3.5","3.5","3.5","3.5","3.5",2025
"Seychelles","-2.2999999999999998","-3.9","-2.1","-0.6","4.3","10.3","0.8","4.9000000000000004","5.3","10.3","7.5","2.8","7.2","7.3","-2.4","0.5","10","12.2","2.5","1.9","4.3","-2.2999999999999998","1.2","-5.9","-2.9","9","9.4","10.4","-2.1","-1.1000000000000001","6.3","5.7","3.8","6.4","4.7","8.9","12.1","7","4.9000000000000004","5.5","-11.8","0.6","9.9","5.2","3.4","5.0999999999999996","1.5","4","3.3","3.3","3.3","3.3",2024
"Sierra Leone","-0.6","1.9","1.8","-1.6","1.7","-6.7","0.1","2.4","2.1","5","1.6","-8","-9.6","0.1","3.5","-10","-24.8","-17.600000000000001","-0.8","-8.1","3.8","18.2","26.4","10.3","7.8","6.7","4.5999999999999996","3.7","3.8","1.3","10.1","7.1","6.7","9.4","-0.6","-3.1","4.7","3.9","3.4","5.5","-1.3","5.9","5.3","5.7","4.3","4.4000000000000004","4.5","4.7","4.5999999999999996","4.5999999999999996","4.5999999999999996","4.5",2024
"Singapore","10.1","10.8","7.1","8.6","8.8000000000000007","-0.6","1.3","10.8","11.3","10.199999999999999","9.8000000000000007","6.7","6.6","11.5","11.1","7.2","7.5","8.3000000000000007","-2.2000000000000002","5.7","9","-1.1000000000000001","3.9","4.5","9.9","7.4","9","9","1.9","0.1","14.5","6.2","4.4000000000000004","4.8","3.9","3","3.9","4.3","3.2","1.2","-3.6","10.1","4","1.5","5.3","5","3.5","2.7","2.5","2.5","2.5","2.5",2025
"Sint Maarten","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Slovak Republic","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","6.2","7.9","6.9","4.4000000000000004","3.8","-0.5","0.8","2.9","4.4000000000000004","4.9000000000000004","5.4","6.5","8.9","10.8","5.4","-5.5","6.8","2.6","1.6","0.7","2.7","5.2","1.9","2.9","4.0999999999999996","2.2999999999999998","-2.6","5.7","0.5","2.1","1.9","0.8","0.6","1.6","2.6","2.5","2.2000000000000002","1.8",2025
"Slovenia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","2.8","5.3","4.0999999999999996","3.3","5.2","3.1","5.3","3.5","2.8","3.3","3.2","4.5","3.9","5.9","7.1","3.4","-7.6","1.1000000000000001","0.7","-2.9","-0.8","2.8","2.4","3","5.2","4.4000000000000004","3.5","-4.0999999999999996","8.4","2.7","2.4","1.7","1.1000000000000001","2","2.1","2.2000000000000002","2.1","2.1","2.1",2025
"Solomon Islands","-2.7","-1.8","-1.7","3.9","0.2","-3.1","-0.2","8.4","1.3","4.3","2.2000000000000002","6","12.7","4","8.1","10.1","1.6","-0.9","1.3","-0.5","-14.3","-8","-2.8","6.5","7.7","7.4","4.0999999999999996","3.6","6.2","2.9","9.6999999999999993","7.4","2.4","5.3","1.2","1.7","5.6","3.1","2.7","1.7","-3.4","-0.2","-2.6","2.8","3","2.7","2.8","2.9","3","3","3","3",2024
"Somalia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","1.2","5.7","2.7","4.5999999999999996","-1.3","9.5","1.4","2.8","-2.8","3.5","2.7","4.2","4.0999999999999996","3","2.6","3.1","3.6","4","4.0999999999999996","4.2",2024
"South Africa","6.6","5.4","-0.4","-1.8","5.0999999999999996","-1.2","0","2.1","4.2","2.4","-0.3","-1","-2.1","1.2","3.2","3.1","4.3","2.6","0.5","2.4","4.2","2.7","3.7","2.9","4.5999999999999996","5.3","5.6","5.4","3.2","-1.5","3","3.2","2.4","2.5","1.4","1.3","0.7","1.2","1.6","0.3","-6.2","4.9000000000000004","2.1","0.8","0.5","1.1000000000000001","1","1.3","1.5","1.7","1.8","1.8",2025
"South Sudan, Republic of","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-50.3","27.3","1.6","-0.2","-13.3","-5.8","-2.1","0.9","-6.5","5.3","-5.2","3","-26.1","46.1","4.0999999999999996","3.3","3.6","3.5","3.8","3",2024
"Spain","1.2","-0.4","1.2","1.7","1.7","2.4","3.4","5.7","5.3","5","3.8","2.5","0.9","-1.3","2.2999999999999998","4.0999999999999996","2.4","3.9","4.5","4.7","5.0999999999999996","3.9","2.8","2.9","3.1","3.6","4","3.5","0.8","-3.8","0.1","-0.6","-2.9","-1.4","1.5","4.0999999999999996","2.9","2.9","2.4","2","-10.9","6.7","6.4","2.5","3.5","2.8","2.1","1.8","1.8","1.7","1.7","1.7",2025
"Sri Lanka","5.8","5.3","5.2","3.3","6.7","5","4.3","1.5","2.7","2.2999999999999998","6.2","10.8","-3.1","7.5","8","6.1","12.2","10.3","-1.6","2.9","8.4","-1.9","3.7","5.9","5.4","6.2","7.7","6.8","6","3.5","8","8.6999999999999993","8.6","4.0999999999999996","6.4","4.2","5.0999999999999996","6.5","2.2999999999999998","-0.2","-4.5999999999999996","4.2","-7.3","-2.2999999999999998","5","no data","no data","no data","no data","no data","no data","no data",2024
"Sudan","2.5","6.3","4.0999999999999996","-1.5","-5.6","-0.6","9.9","6.5","4.3","1.4","0.8","7","5.5","2.8","3.5","8.9","5.5","6.1","8.1999999999999993","4.2","8.4","10.9","5.9","6.3","5.0999999999999996","5.6","6.5","5.7","3.8","-2.8","3.9","-3.2","-17","2","4.7","4.9000000000000004","4.7","0.8","-2.2999999999999998","-2.5","-3.6","0.5","-2.5","-20.8","-23.4","3.2","0.7","8.1","12.8","8.3000000000000007","6","4.5",2019
"Suriname","-6.5","1.9","-6.3","-5.0999999999999996","-3","-0.9","-2.4","-8.8000000000000007","10.8","2.2999999999999998","-1.5","-13.8","3.9","-2.2000000000000002","-7","11.3","11.2","7","2.2000000000000002","-0.9","-0.1","4.9000000000000004","3.7","6.2","7.3","4.9000000000000004","5.8","5.0999999999999996","4.0999999999999996","3","5.2","5.8","2.7","2.9","0.3","-3.4","-4.9000000000000004","1.6","4.9000000000000004","1.2","-16","-2.4","2.4","2.4","1.7","1.5","3.9","4.4000000000000004","28.5","43.5","3.1","2.9",2025
"Svalbard and Jan Mayen Islands","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Sweden","4.5999999999999996","4.5","1.4","2","4.3","2.2999999999999998","3.1","3.4","2.5","2.6","0.5","-1.1000000000000001","-1.1000000000000001","-1.8","4","4.0999999999999996","1.7","3.1","4.2","4.2","4.5999999999999996","1.4","2.2999999999999998","1.9","4.2","2.8","4.7","3.2","-0.9","-4.3","5.8","3.2","-0.4","1.1000000000000001","2.2999999999999998","4.4000000000000004","2.1","1.9","1.8","2.6","-1.9","5.2","1.3","-0.2","1","1.5","2","1.9","2.1","1.9","1.8","1.8",2024
"Switzerland","5.0999999999999996","1.7","-1.3","0.6","3","3.8","1.8","1.6","3.2","4.4000000000000004","3.7","-0.9","-0.1","-0.1","1.3","0.5","0.6","2.1","2.7","1.6","3.7","1.6","0.4","-0.3","2.5","3","4.2","4","2.4","-2","3.2","1.5","1.2","1.8","2.5","1.4","2","1.5","3.4","1.1000000000000001","-2.4","6.2","3.6","0.9","1.4","1.3","1.3","1.3","1.8","1.2","1.8","1.2",2025
"Syria","10.5","8.5","2.6","1.6","-6.5","7.3","-4.8","1.3","12.7","-6.1","10.4","10.7","13.2","7.4","5.5","5.4","3","-1.1000000000000001","5.6","-3.1","2.2999999999999998","3.7","5.9","-2","6.9","6.2","5","5.7","4.5","5.9","3.4","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2010
"São Tomé and Príncipe","-1.1000000000000001","-10.3","3.1","-3.9","-6","9.3000000000000007","-5.8","-2.9","2","3.1","-2.2000000000000002","1.2","0.7","1.1000000000000001","2.2000000000000002","2","1.5","1","2.5","2.5","0.4","2.4","2.4","6.6","3.8","7.1","9.1","3.3","8.1999999999999993","3.3","1.4","2","2.9","5.0999999999999996","4.9000000000000004","1.5","5.2","4.0999999999999996","4.4000000000000004","2","2.6","1.9","0.2","0.4","1.1000000000000001","2.1","3.4","3.9","3.3","3.3","3.3","3.2",2024
"Taiwan Province of China","8","9.5","4.8","9","10","4.8","11.5","12.8","8","8.6999999999999993","5.5","8.4","8.3000000000000007","6.8","7.5","6.5","6.2","6.1","4.2","6.7","6.3","-1.4","5.5","4.2","7","5.4","5.8","6.9","0.8","-1.6","10.199999999999999","3.7","2.2000000000000002","2.5","4.7","1.5","2.2000000000000002","3.7","2.9","3.1","3.4","6.7","2.7","1.1000000000000001","5.3","8.6999999999999993","5.2","3","2.4","2.4","2.4","2.1",2025
"Tajikistan","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-11.1","-21.4","-12.5","-4.4000000000000004","1.7","5.3","3.7","8.3000000000000007","10.199999999999999","9.1","10.199999999999999","10.6","6.7","7","7.8","7.9","3.9","6.5","7.4","7.5","7.4","6.7","6","6.9","7.1","7.6","7.4","4.4000000000000004","9.4","8","8.3000000000000007","8.4","8.4","6","4.8","4.5","4.5","4.5","4.5",2023
"Tanzania","3.3","0.5","0.6","2.4","3.4","4.5999999999999996","6.6","5.9","4.4000000000000004","3.8","7","2.1","0.6","1.2","1.6","3.6","4.5","3.5","3.7","4.8","4.9000000000000004","6","7.2","6.9","7.8","7.4","4.7","8.5","5.6","5.4","6.4","7.9","5.0999999999999996","6.8","6.7","6.2","6.9","6.7","7","6.9","4.5","4.8","4.7","5.0999999999999996","5.5","5.9","5.9","6.1","6.3","6.3","6.3","6.3",2023
"Thailand","4.5999999999999996","5.9","5.4","5.6","5.8","4.5999999999999996","5.5","9.5","13.3","12.2","11.6","8.4","9.1999999999999993","8.6999999999999993","8","8.1","5.7","-2.8","-7.6","4.5999999999999996","4.5","3.4","6.1","7.2","6.3","4.2","5","5.4","1.7","-0.7","7.5","0.8","7.2","2.7","1","3.1","3.4","4.2","4.2","2.1","-6.1","1.6","2.7","2.2000000000000002","2.9","2.4","1.5","2.1","2.2999999999999998","2.5","2.5","2.5",2025
"Timor-Leste","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","16.3","-6.7","-2.2000000000000002","0.4","3","-4.0999999999999996","10.3","11.4","10.1","9.3000000000000007","6","4.9000000000000004","3.1","4.5","2.5","3","-3.2","-0.5","2.7","-8.5","3","4","2.4","4.3","4.5","4.0999999999999996","3.8","3.6","3.4","3.3","3.2",2024
"Togo","-2.2999999999999998","-3.4","-3.7","-5.2","5.9","3.7","3.3","-2.5","10.1","4.0999999999999996","5.9","-0.6","-3.2","-16.3","13.9","19.7","-3.9","3.8","-2.2999999999999998","2.5","-1","0.8","3.8","6.7","-1","-4.7","2.7","1.2","4","5.5","5.9","5.8","6.3","5.8","5.6","5.5","5.7","4","4.8","4.9000000000000004","2.2000000000000002","5.0999999999999996","6.3","6.2","6.3","5.9","5","5.3","5.5","5.5","5.5","5.5",2023
"Tokelau","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Tonga","15.8","14","12.8","5.8","44.1","5.6","8.8000000000000007","1.7","-3.5","1.1000000000000001","4.7","5.9","-3.8","-0.1","2","7.9","0.1","-0.6","2.2999999999999998","2.2999999999999998","3.8","1.5","4.5","0.1","-1.9","-0.4","-2.2000000000000002","-2.5","4.8","-5.2","0.8","6.8","2.4","-1.1000000000000001","2","1.1000000000000001","6.6","3.2","0.5","-0.3","1.8","-0.9","-2.1","2.8","1.7","2.8","2.2999999999999998","1.3","1.3","1.3","1.3","1.3",2024
"Trinidad and Tobago","10.4","4.5999999999999996","3.8","-10.3","-5.8","-4.0999999999999996","-3.3","-4.5999999999999996","-3.9","-0.8","1.5","3.1","10.1","-0.7","3.6","3.8","7.1","7.5","8.1","8","6.9","3.7","7.2","13.9","7.3","5.9","14.2","4.3","3.3","-4.8","3.5","-0.2","4.5999999999999996","3.4","3.7","-0.4","-7.5","-4.9000000000000004","-0.9","0.5","-8.8000000000000007","-0.7","0.9","1.5","2.5","0.8","0.8","3","3.5","2.8","2.1","1.8",2024
"Tunisia","7.4","5.5","-0.5","4.7","5.7","5.7","-1.5","6.7","0.1","2.6","7.1","4.0999999999999996","8","2.5","3.6","2.7","6.9","5.7","5","6","4.3","3.8","1.3","4.7","6.2","3.5","5.2","6.7","4.2","3","3.5","-2","4.2","2.4","3.1","1","1.1000000000000001","2.2999999999999998","2.6","1.6","-9","4.7","2.7","0.2","1.6","2.5","2.1","1.6","1.5","1.5","1.5","1.5",2025
"Turkmenistan","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-10","-17.3","-7.2","-6.7","-11.3","6.7","16.5","18.600000000000001","20.399999999999999","15.8","17.100000000000001","14.7","13","11","11.1","14.7","6.1","17.100000000000001","21.5","16.899999999999999","10.199999999999999","5.2","0.8","3.7","4.3","4.8","5.0999999999999996","-1.6","9.9","3.3","4.3","3.4","3.6","2.6","2","2.2999999999999998","2.2999999999999998","2.2999999999999998","2.2999999999999998",2024
"Turks and Caicos Islands","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Tuvalu","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","0.7","8.3000000000000007","-4.4000000000000004","-1.9","-3.7","1.3","6.9","6.6","-5.6","-2.5","7.5","-2.9","3.8","1.7","9.4","4.8","3.3","1.7","13.4","-3.3","0.1","-11.8","4","3.1","2.2000000000000002","2.5","2.4","2.2999999999999998","2","1.8","1.6",2024
"Türkiye, Republic of","-0.8","4.4000000000000004","3.4","4.8","6.8","4.3","6.9","10","2.1","0.3","9.3000000000000007","0.9","6","8","-5.5","7.2","7","7.5","3.1","-3.1","7","-5.5","6.4","5.8","9.9","9.1","7.1","5.0999999999999996","0.9","-4.9000000000000004","8.5","11","4.8","8.5","4.5999999999999996","5.8","3.3","7.8","3.5","1.3","1.8","11.8","5.4","5","3.3","3.6","3.4","3.5","3.8","4","4","4",2025
"Uganda","-3.4","3.9","8.1999999999999993","4.9000000000000004","-3","-3","0.9","4","8.3000000000000007","6.4","6.5","1.8","5.9","6.7","7.7","9.1999999999999993","6.6","4.5999999999999996","6.1","8","3.9","8.8000000000000007","7.1","6.2","5.8","10","7","8.1","10.4","8.1","7.5","7.7","2.2999999999999998","3.9","5.7","8","0.2","6.8","5.6","7.6","-1.2","5.5","6.2","5","6","6.7","7.5","8.1999999999999993","7","6.7","6.2","5.9",2024
"Ukraine","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-9.9","-14.2","-22.9","-12.2","-10","-3","-1.9","-0.2","5.9","8.8000000000000007","5.3","9.5","11.8","3.1","7.6","8.1999999999999993","2.2000000000000002","-15.1","4.0999999999999996","5.4","0.2","0","-10","-9.8000000000000007","2.4","2.4","3.5","3.2","-3.8","3.4","-28.8","5.5","3.2","1.8","2","3.5","4.2","3.9","3.7","3.6",2024
"United Arab Emirates","-1.8","8","-7.2","-5.2","4.5","-2.5","-19.3","5.3","-2.6","15.7","23.6","2.2000000000000002","3.1","0.3","7.4","6.6","5.4","8.6","0.9","3.8","12.3","1.4","2.4","8.8000000000000007","9.6","4.9000000000000004","9.8000000000000007","3.2","3.2","-5.2","7.9","6.7","4.7","4.9000000000000004","4.5999999999999996","7.1","5.7","-1.1000000000000001","1.5","1.3","-8.6999999999999993","4.5999999999999996","7.5","4.3","4","5.8","3.1","5.3","4.5999999999999996","4.4000000000000004","4","4",2024
"United Kingdom","-2","-0.6","2","4.2","2.2000000000000002","4.0999999999999996","3.1","5.5","5.4","2.4","0.6","-1.4","0.3","2.2999999999999998","3.4","2.4","2.6","4.9000000000000004","3.2","2.9","4.5","2.4","1.7","3.2","2.2999999999999998","2.8","2.2000000000000002","2.9","0","-4.5999999999999996","2.2999999999999998","0.9","1.5","1.7","3.2","2.1","2.2000000000000002","3","1.6","1.3","-10","8.5","5.0999999999999996","0.3","1.1000000000000001","1.3","0.8","1.3","1.6","1.6","1.5","1.4",2025
"United States","-0.3","2.5","-1.8","4.5999999999999996","7.2","4.2","3.5","3.5","4.2","3.7","1.9","-0.1","3.5","2.8","4","2.7","3.8","4.4000000000000004","4.5","4.8","4.0999999999999996","1","1.7","2.8","3.8","3.5","2.8","2","0.1","-2.6","2.7","1.6","2.2999999999999998","2.1","2.5","2.9","1.8","2.5","3","2.6","-2.1","6.2","2.5","2.9","2.8","2.1","2.2999999999999998","2.1","2.1","1.9","1.8","1.8",2025
"United States Virgin Islands","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Uruguay","6","1.9","-9.4","-5.9","-1.5","0.3","7.5","5.9","0.5","1.1000000000000001","0.3","3.5","7.9","2.7","7.3","-1.4","5.6","5.5","4.5","-1.9","-1.9","-3.8","-7.7","0.8","5","7.5","4.0999999999999996","6.5","7.2","4.2","7.8","5.2","3.5","4.5999999999999996","3.2","0.4","1.7","1.7","0.2","0.9","-7.4","5.8","4.5999999999999996","0.8","3.3","1.8","1.8","2.6","2.2999999999999998","2.2000000000000002","2.2000000000000002","2.2000000000000002",2024
