"Real GDP growth (Annual percent change)","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","Estimates start after"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Channel Islands","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Chile","7.9","6.2","-13.6","-2.8","5.9","2","5.6","6.6","7.3","10.6","3.7","7.8","11.2","6.6","5","8.9","5","7.4","4.2","-0.3","5","3.2","3.2","4.7","6.7","5.8","6","5.2","3.8","-1.1000000000000001","5.9","6.2","6.2","3.3","1.8","2.2000000000000002","1.8","1.4","4","0.6","-6.1","11.3","2.2000000000000002","0.5","2.6","2.2999999999999998","2.4","2.6","2.2999999999999998","2.2999999999999998","2.2999999999999998","2.2999999999999998",2025
"China, People's Republic of","7.9","5.0999999999999996","9","10.8","15.2","13.5","8.9","11.7","11.2","4.2","3.9","10.199999999999999","14.3","13.9","13.1","11","10","9.3000000000000007","7.9","7.8","8.6","8.3000000000000007","9.1999999999999993","10.1","10.1","11.4","12.7","14.2","9.6","9.4","10.6","9.5","7.8","7.8","7.5","7","6.8","6.9","6.8","6.1","2.2999999999999998","8.6","3.1","5.4","5","5","4.4000000000000004","4","4","3.7","3.3","3.3",2025
"Colombia","4.4000000000000004","2.2999999999999998","0.9","1.6","3.4","3.1","5.8","5.4","4.0999999999999996","3.4","4.3","2.4","4.4000000000000004","5.7","5.0999999999999996","5.2","2.1","3.4","0.6","-4.2","2.9","1.7","2.5","3.9","5.3","4.4000000000000004","6.7","6.7","3.3","1.1000000000000001","4.5","6.9","3.9","5.0999999999999996","4.5","3","2.1","1.4","2.6","3.2","-7.2","10.8","7.3","0.8","1.5","2.6","2.2999999999999998","2.5","2.6","2.7","2.8","2.8",2025
"Comoros","7.4","5.5","4.0999999999999996","3.1","4.2","2.8","2.1","2.1","5","-0.9","7.3","-6.2","7.4","2.5","-4","5.6","-0.5","4.4000000000000004","0","2.7","-1","5.4","4.5999999999999996","1.9","3.1","5.7","-1.8","0.8","4","3.2","3.8","4.0999999999999996","3.2","4.5","2.1","1.1000000000000001","3.3","3.8","3.6","1.8","-0.2","2","2.6","3","3.3","3.8","4.0999999999999996","4.0999999999999996","3.8","3.6","3.6","3.6",2024
"Congo, Dem. Rep. of the","2.4","0.9","-0.5","1.4","4.8","0.5","4.7","2.7","0.5","-1.3","-6.6","-8.4","-10.5","-13.5","-6.1","2.8","-1.9","-7.8","-3.9","-3.8","-8.1","-2.1","2.9","6.6","7.7","9.8000000000000007","5.0999999999999996","8.5","7.4","0.6","7.8","7.6","8.6999999999999993","9.6","7.3","6.4","0.4","4.2","6.1","0.6","0.8","6.4","9.3000000000000007","8.5","6.1","5.7","5.9","5.4","5.4","5.4","5.4","5.4",2023
"Congo, Republic of","12.7","2.6","2.4","2.4","2.4","2.4","2.2999999999999998","2.2999999999999998","21.9","21.3","1","3.4","4.2","1.3","-1.4","4","3.5","-1","8.9","-3.7","11.8","-4.8","1","0.5","-0.2","9.1999999999999993","8","-6.6","6.3","11.6","9.9","2.2000000000000002","9.9","-0.7","6.7","-3.6","-5","-5.6","-2.2999999999999998","1.1000000000000001","-6.3","1.1000000000000001","1.8","2","2.1","2.4","2.8","3.2","3.7","3.7","3.6","3.6",2022
"Cook Islands","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Costa Rica","0.8","-2.2999999999999998","-7.3","2.9","8","0.7","5.5","4.8","3.4","5.7","3.6","2.2999999999999998","9.1999999999999993","7.1","4.5","4.2","1.4","5.5","7.1","4.0999999999999996","3.8","3.5","3.4","4.3","4.4000000000000004","4","7.3","8.1999999999999993","4.7","-0.9","5.4","4.4000000000000004","4.9000000000000004","2.5","3.5","3.7","4.2","4.2","2.9","2.7","-4.0999999999999996","8.1999999999999993","5.5","4.8","4.0999999999999996","4.5999999999999996","3.6","3.6","3.6","3.5","3.5","3.5",2025
"Croatia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-8","5.9","6.6","5.9","6.6","1.9","-0.9","3.7","3.1","5.8","5.6","4.2","4.3","5.0999999999999996","5.0999999999999996","2","-6.8","-1.3","-0.1","-2.2000000000000002","-0.1","-0.6","2.2999999999999998","3.5","3.3","2.9","3.1","-8.3000000000000007","12.6","7.3","3.8","3.8","3.2","2.6","2.6","2.6","2.5","2.5","2.5",2025
